,index_content,word,nature,content_type,index_word
707,19,好评,v,neg,23
710,19,刷,v,neg,24
714,20,差,a,neg,1
717,20,个把月,n,neg,2
720,20,货,n,neg,3
721,20,收不到,v,neg,4
723,20,钱,n,neg,5
724,20,退,v,neg,6
727,20,次,m,neg,7
728,20,催,v,neg,8
732,20,下单,n,neg,9
733,20,后天,t,neg,10
736,20,再慢,d,neg,11
738,20,慢,a,neg,12
739,20,成,v,neg,13
742,20,天次,b,neg,14
743,20,催单,n,neg,15
748,20,足够,v,neg,16
750,20,时间,n,neg,17
752,20,耐心,a,neg,18
757,20,问,v,neg,19
758,20,物流,n,neg,20
763,20,几天,m,neg,21
767,20,主动,b,neg,22
768,20,找,v,neg,23
770,20,问,n,neg,24
776,20,申请,v,neg,25
777,20,退款,v,neg,26
779,20,商品,n,neg,27
784,20,拒收,v,neg,28
786,20,行,v,neg,29
791,20,货,n,neg,30
795,20,钱,n,neg,31
797,20,没退,v,neg,32
800,20,找,v,neg,33
805,20,申请,v,neg,34
806,20,退款,v,neg,35
810,20,东西,ns,neg,36
813,20,退,v,neg,37
820,20,个把月,n,neg,38
823,20,个把月,n,neg,39
830,20,打开,v,neg,40
836,20,玩意,n,neg,41
839,20,退钱,v,neg,42
849,20,白送,nr,neg,43
851,21,防尘,n,neg,1
852,21,袋,q,neg,2
854,21,实物,n,neg,3
858,21,虚假,a,neg,4
859,21,宣传,vn,neg,5
861,22,发,v,neg,1
864,22,瑕疵,n,neg,2
867,22,通风口,l,neg,3
871,22,坏,a,neg,4
877,22,特别,d,neg,5
878,22,松,v,neg,6
883,23,做工,v,neg,1
885,23,精细,a,neg,2
887,24,看着,v,neg,1
892,24,配件,n,neg,2
896,24,到货,v,neg,3
901,24,解决,v,neg,4
903,25,两个,m,neg,1
904,25,星期,t,neg,2
905,25,扣子,n,neg,3
908,25,为啥,r,neg,4
910,25,掉,v,neg,5
913,26,内里,s,neg,1
915,26,调节,vn,neg,2
917,26,一点,m,neg,3
922,26,戴,v,neg,4
923,26,上后,f,neg,5
924,26,面罩,n,neg,6
927,26,三角,m,neg,7
928,26,凹陷,v,neg,8
929,26,区域,n,neg,9
933,26,视线,n,neg,10
938,26,一半,m,neg,11
939,26,黑,a,neg,12
940,26,一半,m,neg,13
944,26,眼睛,n,neg,14
947,26,舒服,a,neg,15
950,26,一分钱,n,neg,16
951,26,一分货,n,neg,17
954,26,价位,n,neg,18
957,26,自行车,n,neg,19
959,27,用户,n,neg,1
960,27,未填写,i,neg,2
961,27,评价,n,neg,3
962,27,内容,n,neg,4
963,28,做工,v,neg,1
966,28,产品,n,neg,2
968,28,刮花,n,neg,3
970,28,痕迹,n,neg,4
974,29,帽檐,n,neg,1
975,29,很脏,a,neg,2
979,29,帽绳,n,neg,3
983,29,差,a,neg,4
985,29,滑,v,neg,5
987,29,卡扣,nz,neg,6
990,29,扣,v,neg,7
991,29,不稳,a,neg,8
995,29,上传,v,neg,9
997,29,帽绳,n,neg,10
1001,29,相片,n,neg,11
1003,29,购买者,n,neg,12
1004,29,自行,r,neg,13
1007,30,说实话,l,neg,1
1010,30,款,m,neg,2
1011,30,唯一,b,neg,3
1013,30,优点,n,neg,4
1015,30,好看,v,neg,5
1017,30,缺点,n,neg,6
1022,30,物质,n,neg,7
1025,30,硬,a,neg,8
1026,30,塑料,n,neg,9
1028,30,太,d,neg,10
1029,30,硬,a,neg,11
1032,30,发生,v,neg,12
1033,30,碰撞,v,neg,13
1035,30,起到,v,neg,14
1036,30,缓冲,v,neg,15
1038,30,作用,v,neg,16
1042,30,太重,n,neg,17
1044,30,第三,m,neg,18
1046,30,太小,n,neg,19
1050,30,调节,vn,neg,20
1051,30,大小,b,neg,21
1053,30,空间,n,neg,22
1055,30,戴,v,neg,23
1058,30,挤,v,neg,24
1060,30,慌,a,neg,25
1062,30,做,v,neg,26
1064,30,稍,d,neg,27
1066,30,点,q,neg,28
1069,30,能调,v,neg,29
1072,30,做,v,neg,30
1076,30,几个,m,neg,31
1077,30,男士,n,neg,32
1078,30,适合,v,neg,33
1079,30,戴,v,neg,34
1080,31,掌柜,n,pos,1
1081,31,态度,n,pos,2
1083,31,专业,n,pos,3
1084,31,热情,n,pos,4
1086,31,有问必答,l,pos,5
1088,31,回复,v,pos,6
1090,31,很快,d,pos,7
1093,31,问,v,pos,8
1102,31,烦,v,pos,9
1107,31,回答,v,pos,10
1113,31,掌柜,n,pos,11
1115,31,由衷,d,pos,12
1117,31,敬意,v,pos,13
1122,31,掌柜,n,pos,14
1123,31,可不,c,pos,15
1127,31,宝贝,nr,pos,16
1134,31,收到,v,pos,17
1137,31,包装,v,pos,18
1138,31,完整,a,pos,19
1140,31,打开,v,pos,20
1144,31,惊喜,a,pos,21
1148,31,宝贝,nr,pos,22
1151,31,想象,n,pos,23
1152,31,中,f,pos,24
1159,31,竖起,v,pos,25
1160,31,大拇指,n,pos,26
1161,31,发货,n,pos,27
1162,31,很快,d,pos,28
1165,31,收到,v,pos,29
1166,31,货,n,pos,30
1169,31,商品,n,pos,31
1171,31,描述,v,pos,32
1178,31,关键,n,pos,33
1179,31,价格,n,pos,34
1181,31,合适,a,pos,35
1188,31,放心,v,pos,36
1191,31,好评,v,pos,37
1195,32,颜值,n,pos,1
1197,32,很棒,a,pos,2
1200,32,太,d,pos,3
1201,32,新,a,pos,4
1204,32,车座,n,pos,5
1205,32,底下,f,pos,6
1206,32,放不下,v,pos,7
1208,32,一度,mq,pos,8
1209,32,担心,v,pos,9
1210,32,逛街,v,pos,10
1212,32,偷,v,pos,11
1214,32,走,v,pos,12
1220,32,棒,zg,pos,13
1222,32,看着,v,pos,14
1224,32,便宜,a,pos,15
1231,33,描述,v,pos,1
1232,33,高度,n,pos,2
1233,33,匹配,v,pos,3
1235,33,大赞,nr,pos,4
1237,34,价格,n,pos,1
1238,34,合适,a,pos,2
1240,34,样式,n,pos,3
1241,34,精美,a,pos,4
1243,34,不错,a,pos,5
1245,34,调节,vn,pos,6
1248,34,佩戴,v,pos,7
1250,34,舒适感,nr,pos,8
1256,35,满意,v,pos,1
1259,35,购物,n,pos,2
1261,35,颜色,n,pos,3
1262,35,漂亮,a,pos,4
1267,35,舒服,a,pos,5
1271,35,反光,v,pos,6
1272,35,条,n,pos,7
1274,35,晚上,t,pos,8
1278,35,黑,a,pos,9
1281,35,灯光,n,pos,10
1282,35,照射,v,pos,11
1286,35,发现,v,pos,12
1288,35,价格,n,pos,13
1289,35,美丽,ns,pos,14
1290,35,支持,v,pos,15
1291,35,商家,n,pos,16
1293,35,支持,v,pos,17
1298,36,性价比,n,pos,1
1299,36,高,a,pos,2
1301,36,值得,v,pos,3
1302,36,购买,v,pos,4
1304,36,米,q,pos,5
1305,36,白色,n,pos,6
1307,36,好看,v,pos,7
1308,36,耶耶耶,nr,pos,8
1309,36,哪哈,nrt,pos,9
1314,36,嘿嘿嘿,o,pos,10
1316,36,废话,n,pos,11
1317,36,不多,d,pos,12
1321,36,看图,v,pos,13
1325,36,强推,vn,pos,14
1326,36,米,q,pos,15
1327,36,白色,n,pos,16
1329,36,真的,d,pos,17
1330,36,好看,v,pos,18
1331,36,耶耶耶,nr,pos,19
1332,37,不错,a,pos,1
1334,37,选,v,pos,2
1336,37,粉色,n,pos,3
1337,37,实物,n,pos,4
1338,37,颜色,n,pos,5
1340,37,漂亮,a,pos,6
1342,37,光泽度,n,pos,7
1347,37,异味,n,pos,8
1349,37,材质,n,pos,9
1351,37,放心,v,pos,10
1355,37,柔软,a,pos,11
1357,37,戴,v,pos,12
1360,37,舒适,a,pos,13
1362,37,围脖,n,pos,14
1363,37,加绒,nr,pos,15
1365,37,毛毛,nr,pos,16
1367,37,暖和,a,pos,17
1371,37,拆下来,v,pos,18
1377,37,冬天,t,pos,19
1378,37,骑车,n,pos,20
1379,37,再也,d,pos,21
1381,37,冷,a,pos,22
1384,37,价格,n,pos,23
1387,37,实体店,n,pos,24
1388,37,实惠,vn,pos,25
1394,37,值,v,pos,26
1396,38,安全帽,nz,pos,1
1397,38,收到,v,pos,2
1400,38,看着,v,pos,3
1402,38,不错,a,pos,4
1404,38,大小,b,pos,5
1407,38,合适,a,pos,6
1409,38,颜色,n,pos,7
1412,38,好看,v,pos,8
1414,38,不错,a,pos,9
1416,38,产品,n,pos,10
1418,38,安装简单,nr,pos,11
1420,38,戴,v,pos,12
1423,38,不重,a,pos,13
1425,38,感觉,n,pos,14
1426,38,包裹,v,pos,15
1427,38,性,n,pos,16
1433,38,安全感,nr,pos,17
1435,39,选,v,pos,1
1437,39,好几家,m,pos,2
1438,39,店,n,pos,3
1441,39,花,v,pos,4
1443,39,好长时间,n,pos,5
1445,39,收到,v,pos,6
1446,39,货,n,pos,7
1447,39,真的,d,pos,8
1449,39,喜欢,v,pos,9
1451,39,帽子,n,pos,10
1453,39,厚实,a,pos,11
1455,39,发货,n,pos,12
1456,39,速度,n,pos,13
1461,39,满意,v,pos,14
1464,39,购物,n,pos,15
1465,40,物美价廉,l,pos,1
1467,40,物超所值,i,pos,2
1469,40,超出,v,pos,3
1470,40,预期,vn,pos,4
1474,40,材质,n,pos,5
1475,40,坚硬,a,pos,6
1477,40,内部,f,pos,7
1478,40,舒适,a,pos,8
1480,40,造型,n,pos,9
1481,40,美观,nz,pos,10
1483,40,重量,n,pos,11
1484,40,轻巧,a,pos,12
1486,40,没想到,l,pos,13
1489,40,价格,n,pos,14
1491,40,买到,v,pos,15
1493,40,质优价廉,l,pos,16
1495,40,产品,n,pos,17
1498,40,推介,v,pos,18
1500,40,朋友,n,pos,19
1502,40,朋友,n,pos,20
1507,40,下单,n,pos,21
1510,40,小小,b,pos,22
1511,40,建议,n,pos,23
1513,40,外包装,n,pos,24
1515,40,讲究,vn,pos,25
1516,40,一点,m,pos,26
1518,40,更好,d,pos,27
1524,41,泽,nr,pos,1
1528,41,高大,a,pos,2
1531,41,感觉,n,pos,3
1536,41,手感,n,pos,4
1538,41,做工,v,pos,5
1540,41,棒,zg,pos,6
1542,41,茶镜,n,pos,7
1544,41,好看,v,pos,8
1546,41,戴,v,pos,9
1549,41,合适,a,pos,10
1551,41,买值,v,pos,11
1554,42,东西,ns,pos,1
1555,42,收到,v,pos,2
1562,42,图片,n,pos,3
1566,42,色差,n,pos,4
1568,42,标注,v,pos,5
1571,42,认证,v,pos,6
1573,42,产品,n,pos,7
1576,42,带上,v,pos,8
1578,42,感觉,n,pos,9
1580,42,紧,a,pos,10
1582,42,估计,v,pos,11
1584,42,一段时间,l,pos,12
1586,42,好了吧,l,pos,13
1588,43,不错,a,pos,1
1591,43,精致,a,pos,2
1596,43,物超所值,i,pos,3
1599,43,厚实,a,pos,4
1601,43,值得,v,pos,5
1602,43,推荐,v,pos,6
1605,44,不错,a,pos,1
1607,44,通气孔,n,pos,2
1610,44,调节,vn,pos,3
1613,44,头围,n,pos,4
1614,44,大小,b,pos,5
1617,44,调节,vn,pos,6
1619,44,男女,n,pos,7
1620,44,通用,v,pos,8
1624,44,男士,n,pos,9
1625,44,戴更,nr,pos,10
1626,44,合适,a,pos,11
1628,45,收到,v,pos,1
1631,45,组装,v,pos,2
1632,45,镜片,n,pos,3
1634,45,轻松,a,pos,4
1636,45,搞定,v,pos,5
1639,45,做工,v,pos,6
1643,45,质感,n,pos,7
1644,45,不错,a,pos,8
1646,45,安全性,nr,pos,9
1649,45,手感,n,pos,10
1651,45,厚重,a,pos,11
1653,45,足够,v,pos,12
1654,45,保护,v,pos,13
1655,45,头部,n,pos,14
1659,46,好看,v,pos,1
1662,46,漂亮,a,pos,2
1665,46,物有所值,l,pos,3
1667,46,戴起来,l,pos,4
1669,46,舒服,a,pos,5
1671,46,后边,f,pos,6
1674,46,反光板,n,pos,7
1676,46,灯光,n,pos,8
1678,46,反射,v,pos,9
1679,46,易,a,pos,10
1680,46,发现,v,pos,11
1682,46,支持,v,pos,12
1684,46,支持,v,pos,13
1685,46,店铺,n,pos,14
1687,47,宝贝,nr,pos,1
1688,47,特别,d,pos,2
1689,47,喜欢,v,pos,3
1691,47,颜值,n,pos,4
1692,47,高好,a,pos,5
1694,47,中,f,pos,6
1697,47,中用,v,pos,7
1702,47,朋友,n,pos,8
1704,47,犹豫,a,pos,9
1708,47,祝,v,pos,10
1709,47,商家,n,pos,11
1710,47,生意兴隆,l,pos,12
1712,48,快递,v,pos,1
1713,48,很快,d,pos,2
1718,48,正品,n,pos,3
1720,48,戴,v,pos,4
1722,48,头上,s,pos,5
1724,48,舒服,a,pos,6
1727,48,划,v,pos,7
1729,48,头皮,n,pos,8
1731,49,特别,d,pos,1
1734,49,款式,n,pos,2
1736,49,特别,d,pos,3
1737,49,时尚,n,pos,4
1739,49,太,d,pos,5
1740,49,喜欢,v,pos,6
1743,49,颜色,n,pos,7
1745,49,很漂亮,n,pos,8
1750,49,光顾,v,pos,9
1758,50,颜色,n,pos,1
1760,50,特别,d,pos,2
1762,50,亮,n,pos,3
1765,50,喜欢,v,pos,4
1767,50,物流,n,pos,5
1774,50,他家,r,pos,6
1778,51,白色,n,neg,1
1780,51,划痕,n,neg,2
1782,51,偏,d,neg,3
1785,51,压,v,neg,4
1787,51,耳朵,n,neg,5
1788,51,疼,v,neg,6
1790,51,快递,v,neg,7
1796,51,打电话,l,neg,8
1798,51,没发,v,neg,9
1799,51,信息,n,neg,10
1802,51,放,v,neg,11
1803,51,代收,v,neg,12
1804,51,点,m,neg,13
1808,51,代收,v,neg,14
1809,51,点,m,neg,15
1812,51,好几公里,m,neg,16
1815,51,下着雨,l,neg,17
1824,51,网上,s,neg,18
1826,51,东西,ns,neg,19
1829,51,图,n,neg,20
1834,51,递给,v,neg,21
1836,51,放,v,neg,22
1838,51,远,a,neg,23
1843,51,快递,v,neg,24
1845,51,时间,n,neg,25
1847,51,在线,b,neg,26
1848,51,下买,v,neg,27
1849,51,不好,d,neg,28
1852,52,购物,n,neg,1
1854,52,多年,m,neg,2
1856,52,最差,a,neg,3
1859,52,感受,v,neg,4
1861,52,遇见,v,neg,5
1864,52,讲,v,neg,6
1865,52,诚信,nz,neg,7
1868,52,霸道,n,neg,8
1870,52,卖家,n,neg,9
1872,52,想,v,neg,10
1873,52,怎么着,r,neg,11
1875,52,怎么着,r,neg,12
1877,52,想,v,neg,13
1878,52,发货,n,neg,14
1879,52,货,n,neg,15
1881,52,发货,n,neg,16
1883,52,想,v,neg,17
1884,52,拦截,v,neg,18
1886,52,拦截,v,neg,19
1887,52,不用,v,neg,20
1889,52,买家,n,neg,21
1892,52,沟通,v,neg,22
1896,52,疫情,n,neg,23
1897,52,搪塞,v,neg,24
1898,52,客户,n,neg,25
1900,52,客户,n,neg,26
1901,52,选择,v,neg,27
1902,52,退款,v,neg,28
1905,52,失败,v,neg,29
1907,52,审核,v,neg,30
1911,52,物流,n,neg,31
1913,52,终于,d,neg,32
1914,52,更新,d,neg,33
1916,52,发,v,neg,34
1918,52,买家,n,neg,35
1919,52,所在城市,n,neg,36
1922,52,隔天,nz,neg,37
1923,52,卖家,n,neg,38
1925,52,强制,v,neg,39
1926,52,拦截,v,neg,40
1927,52,客户,n,neg,41
1928,52,订单,n,neg,42
1930,52,搜索,v,neg,43
1935,52,排名,v,neg,44
1937,52,卖家,n,neg,45
1940,52,牛气,n,neg,46
1943,52,实力,n,neg,47
1949,52,置顶,n,neg,48
1950,52,卖家,n,neg,49
1951,52,榜首,n,neg,50
1956,52,平台,n,neg,51
1959,52,监管,vn,neg,52
1964,53,做工,v,neg,1
1965,53,不好,d,neg,2
1968,53,卡扣,nz,neg,3
1970,53,灵活,a,neg,4
1972,53,包装,v,neg,5
1973,53,太,d,neg,6
1974,53,简陋,a,neg,7
1978,53,套,m,neg,8
1980,53,塑料袋,n,neg,9
1981,53,子,ng,neg,10
1983,53,装箱,n,neg,11
1986,53,送来,v,neg,12
1987,53,时,ng,neg,13
1988,53,透,v,neg,14
1989,53,气孔,n,neg,15
1990,53,挡片,n,neg,16
1992,53,摔掉,v,neg,17
1997,53,摔,v,neg,18
1998,53,痕,ng,neg,19
2001,53,语,ng,neg,20
2003,53,不待,v,neg,21
2004,53,退,v,neg,22
2007,53,一分,m,neg,23
2008,53,价钱,n,neg,24
2009,53,一分货,n,neg,25
2013,53,失望,v,neg,26
2016,53,购物,n,neg,27
2018,54,掉,zg,neg,1
2019,54,地上,s,neg,2
2021,54,摔坏,v,neg,3
2025,54,起到,v,neg,4
2026,54,保护,v,neg,5
2027,54,作用,v,neg,6
2030,55,货刚,n,neg,1
2031,55,收到,v,neg,2
2033,55,不咋地,z,neg,3
2036,55,太,d,neg,4
2039,55,瑕疵,n,neg,5
2041,55,卡扣,nz,neg,6
2043,55,缝,v,neg,7
2044,55,稍微,d,neg,8
2045,55,一动,d,neg,9
2051,56,差,a,neg,1
2053,56,底座,n,neg,2
2055,56,没用,v,neg,3
2056,56,几天,m,neg,4
2058,56,断,v,neg,5
2061,56,齿,n,neg,6
2063,56,找,v,neg,7
2064,56,更换,v,neg,8
2070,56,块钱,n,neg,9
2071,56,运费,vn,neg,10
2075,56,有史以来,l,neg,11
2076,56,体验,n,neg,12
2077,56,最差,a,neg,13
2080,56,购物,n,neg,14
2085,56,再也不会,l,neg,15
2087,56,他家,r,neg,16
2089,56,东西,ns,neg,17
2093,56,售后,n,neg,18
2094,56,真的,d,neg,19
2096,56,差劲,n,neg,20
2097,57,不行,v,neg,1
2099,57,插扣,n,neg,2
2101,57,脱落,v,neg,3
2103,57,敷衍,v,neg,4
2105,57,死猪不怕开水烫,l,neg,5
2107,57,太,d,neg,6
2108,57,垃圾,n,neg,7
2111,57,太,d,neg,8
2112,57,喜欢,v,neg,9
2115,57,个性,n,neg,10
2118,57,客户,n,neg,11
2120,57,傻子,n,neg,12
2123,57,描述,v,neg,13
2126,57,明白,nr,neg,14
2128,57,非要,b,neg,15
2130,57,拍照,v,neg,16
2131,57,三次,m,neg,17
2136,57,自费,vn,neg,18
2138,57,配件,n,neg,19
2140,57,有意思,l,neg,20
2141,58,回来,v,neg,1
2143,58,头顶,n,neg,2
2144,58,处有,v,neg,3
2145,58,一道,m,neg,4
2146,58,划痕,n,neg,5
2149,58,疫情,n,neg,6
2150,58,防控,vn,neg,7
2151,58,期间,f,neg,8
2153,58,退货,v,neg,9
2160,58,优惠,vn,neg,10
2161,58,三元,m,neg,11
2165,58,不好,d,neg,12
2166,58,几天,m,neg,13
2170,58,处理结果,n,neg,14
2173,58,处理速度,n,neg,15
2178,59,打开,v,neg,1
2181,59,坏,a,neg,2
2184,59,左面,f,neg,3
2186,59,坏,a,neg,4
2189,60,东西,ns,neg,1
2191,60,几天,m,neg,2
2198,60,坏,a,neg,3
2202,60,语,ng,neg,4
2204,61,软,a,neg,1
2207,61,差,a,neg,2
2211,61,价格,n,neg,3
2218,62,还行,v,neg,1
2222,62,戴,v,neg,2
2226,62,重,a,neg,3
2229,62,调节,vn,neg,4
2230,62,松紧,a,neg,5
2232,62,不大好,l,neg,6
2237,62,戴,v,neg,7
2239,62,最紧,d,neg,8
2241,62,挺松,a,neg,9
2247,63,一分钱,n,neg,1
2248,63,一分货,n,neg,2
2254,64,调节,vn,neg,1
2255,64,档位,n,neg,2
2256,64,太紧,nz,neg,3
2259,64,手,n,neg,4
2261,64,操作,v,neg,5
2267,64,新旧,ns,neg,6
2269,64,太,d,neg,7
2271,64,关系,n,neg,8
2273,64,调节,vn,neg,9
2274,64,档位,n,neg,10
2279,64,声音,n,neg,11
2281,64,双手,n,neg,12
2282,64,操作,v,neg,13
2284,64,卡,n,neg,14
2286,64,到位,v,neg,15
2289,64,微调,n,neg,16
